PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
XErfL,2rr4/p2nkp1R/1p2p1p1/3p2P1/3P1Q2/P1N1PP2/1P1q1KP1/2R5 w - - 9 29,c3e2 c8c1 f4f7 e7d6 f7e7 d6c7,1434,78,92,57,crushing long middlegame pin,https://lichess.org/YwEkNLMo#57,
ZHcKL,6R1/2R3p1/5pkp/p4q2/8/6P1/5PKP/4r3 b - - 9 33,e1e2 c7g7 g6h5 g3g4 f5g4 g7g4,1699,86,85,35,crushing endgame fork long queenRookEndgame,https://lichess.org/pGRJ7utC/black#66,
Dwh6T,8/2p5/6p1/P1p2pKp/Pk5P/8/6P1/8 w - - 0 47,g5g6 b4a5 g6h5 c5c4 h5g6 c4c3 h4h5 c3c2,1744,75,83,203,advancedPawn crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/L6JUTJ9I#93,
Ayfp7,r1bqk1nr/p1p2pp1/5b1p/2Pp4/8/2N1B3/PP3PPP/R2QKB1R w KQkq - 0 11,d1d5 f6c3 b2c3 d8d5,951,78,98,1353,advantage intermezzo opening short,https://lichess.org/ZlXtc0Wj#21,Philidor_Defense Philidor_Defense_Exchange_Variation
15qsT,r2q3r/ppp3p1/5kNp/2Pn1P2/2Pn2b1/1Q6/PP4PP/RNB2RK1 w - - 1 18,b3g3 d4e2 g1h1 e2g3,927,88,86,74,advantage fork middlegame short,https://lichess.org/rZcoMHdm#35,Kings_Gambit Kings_Gambit_Other_variations
qB9e1,3n4/6pp/2k2p2/r7/1pPKPP2/1B4R1/P6P/8 w - - 7 41,g3g7 d8e6 d4d3 e6g7,954,111,94,492,advantage endgame fork short,https://lichess.org/xrIsbsIa#81,
zqcqi,2r3k1/Q4p1p/6p1/P4n2/8/5PPb/4P2P/2q1R1K1 w - - 0 28,e1c1 c8c1 g1f2 c1f1,861,79,89,90,endgame mate mateIn2 operaMate short,https://lichess.org/eYW2qrIF#55,
whVzn,8/2p2p1k/6p1/8/3Pp1PP/1br1Q3/1nR3R1/3K4 w - - 4 44,d1d2 c3c2 d2e1 b2d3 e1f1 c2c1 e3c1 d3c1,2340,88,86,492,advantage endgame exposedKing veryLong,https://lichess.org/C8VH9ESq#87,
OuiuA,1r3rk1/5ppp/bq1p4/1N1P4/P4P2/Q1P3nP/6PK/1R2R3 b - - 0 26,g3f5 b5d4 b6b1 e1b1 b8b1 d4f5,1940,75,93,5348,advantage capturingDefender long middlegame,https://lichess.org/SS0sIKma/black#52,
AAdZ9,1k1r3r/R4pb1/pPqN3p/4PP2/8/4n1N1/4Q1PP/1R4K1 w - - 0 35,e2a6 c6g2,1337,79,62,145,mate mateIn1 middlegame oneMove,https://lichess.org/s9BFh7hb#69,
YE2S9,8/1p2r3/6p1/1P3pkp/3P4/2R1P2P/6K1/8 w - - 0 44,g2g3 e7e3 c3e3 f5f4 g3f2 f4e3,1897,78,92,613,attraction crushing endgame fork long master rookEndgame sacrifice,https://lichess.org/k07TAw5q#87,
bgOy0,8/6pk/7p/1p5b/pP3P2/6PP/1B3K2/8 b - - 0 37,h7g6 g3g4 h5g4 h3g4,1112,83,62,80,bishopEndgame crushing endgame master short trappedPiece,https://lichess.org/0ifxMco8/black#74,
Y9YMu,r1bqk2r/pp1nppbp/6p1/4Pn2/5Q2/2N2N2/PPP1B1PP/R1B2RK1 w kq - 3 12,f3d4 g7e5 d4f5 e5f4 f5g7 e8f8 g7e6 f7e6,1532,76,92,2740,crushing opening trappedPiece veryLong,https://lichess.org/8yPmQniL#23,Lion_Defense Lion_Defense_Anti-Philidor
xBdvD,5rk1/pppqrppp/3p4/1P1P4/3B4/P4Q2/2Pn1PB1/R4RK1 w - - 1 21,f3h3 d7h3 g2h3 d2f3 g1g2 f3d4,1660,75,96,1686,advantage fork long middlegame,https://lichess.org/Gl9BfFIE#41,
ka1FJ,1q4k1/5rp1/7p/1ppR4/7N/2PQ3P/1P3rP1/6K1 b - - 3 33,c5c4 d5d8 b8d8 d3d8,795,80,83,96,advantage endgame fork short,https://lichess.org/S0Bqaq0Y/black#66,
NbZsm,2rqr1k1/pp3p1p/1n4pb/2Np4/3P2b1/1PR2N2/P3BPPP/3Q1RK1 w - - 4 18,f3e5 g4e2 d1e2 f7f6 c5b7 d8e7,1854,75,93,13432,advantage long middlegame,https://lichess.org/12T8eYaa#35,Caro-Kann_Defense Caro-Kann_Defense_Panov_Attack
UNgQF,b1r2r2/4qppk/p3p2p/1p2PP2/3p2Q1/P1N1P3/1P3RPP/5RK1 b - - 1 22,d4c3 f5f6 g7f6 e5f6 f8g8 g4g8 c8g8 f6e7,1848,102,52,35,advancedPawn advantage middlegame veryLong,https://lichess.org/lCxUYyQ4/black#44,
n2eOO,8/4bpR1/p1r1p3/3pPk2/3P1P2/5P1K/7B/8 b - - 12 45,c6c3 g7f7 f5g6 f7e7,1170,75,100,199,crushing endgame fork master short,https://lichess.org/npxJ9mYF/black#90,
lJE5U,3r2k1/5p1p/1q1r2p1/1p1R4/1p2P3/P2R1P1P/6PK/3Q4 b - - 0 30,b4a3 d5d6 d8d6 d3d6,617,98,78,637,crushing endgame short,https://lichess.org/tTp7sBaT/black#60,
5JMwG,4r1k1/6p1/R1R2p1p/2N3n1/1p6/1P4PP/P1P3PK/4r3 w - - 4 30,c5d3 g5f3 g2f3 e8e2 d3f2 e2f2,1088,77,94,551,endgame long mate mateIn3 sacrifice,https://lichess.org/yESgwM0l#59,
z0fMX,r2q1rk1/pp2npp1/2p1pn1p/4P3/1b3Pb1/2N2NP1/PPPB2BP/R3QR1K b - - 0 13,f6d5 c3d5 e7d5 d2b4 d5b4 e1b4,1027,85,94,2722,advantage discoveredAttack long master middlegame,https://lichess.org/JYGwUgFj/black#26,Bird_Opening Bird_Opening_Other_variations
eQodK,r6k/6r1/4Q3/p2p2p1/1q3p2/3B1P2/4R1P1/3RK3 w - - 8 45,e2d2 g7e7 e6e7 b4e7,1161,86,67,41,advantage middlegame pin short,https://lichess.org/OGQudgiE#89,
3Ytt1,6k1/pp3ppp/8/3R1b2/N7/1P2KP2/P1r3PP/8 b - - 1 24,f5e6 d5d8,510,87,100,125,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/cC6Jd7b9/black#48,
CpVu1,5rk1/p4q1p/1p2p1p1/4P3/2pP4/2P3n1/PP4Q1/R1B3K1 b - - 2 31,g3e4 c1h6 f7f2 g2f2 f8f2 a1e1,2283,106,80,25,advantage endgame long,https://lichess.org/DGpRpHL3/black#62,
gsgaa,4k3/K7/8/2P1P3/3n4/P7/8/8 b - - 0 56,e8d7 a7b6 d7e6 c5c6 d4f5 b6c7 e6e5 c7d7,2931,109,86,685,crushing defensiveMove endgame knightEndgame veryLong,https://lichess.org/F1v1WR09/black#112,
UGShj,2b2rk1/rp3pp1/2pp1q1p/p3p3/P2PPnn1/2P1NN2/1PB2PPP/R2QR1K1 w - - 1 17,f3e5 f4h3 g2h3 f6f2 g1h1 f2h2,2081,77,93,2582,discoveredAttack kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/TdSCZRXt#33,Italian_Game Italian_Game_Classical_Variation
3AQQI,8/1k5p/1n4p1/2p2p2/2P2P1P/3KN1P1/8/8 w - - 2 63,e3d5 b6d5 c4d5 b7c7 h4h5 g6h5,2104,87,85,32,crushing endgame knightEndgame long,https://lichess.org/B8eTPT33#125,
xgJfh,2kr1b1r/ppp3pp/2b2nq1/1Pp2p2/P4N2/2NQ4/2PP1PPP/R1B2RK1 b - - 6 17,g6g5 d3d8 c8d8 f4e6 d8c8 e6g5,1579,75,88,176,advantage attraction fork long opening sacrifice,https://lichess.org/Gwb2EDAi/black#34,Ruy_Lopez Ruy_Lopez_Schliemann_Defense
4IjmX,8/8/5k2/1p1p1b2/1P1P1K2/2P2N1p/8/8 b - - 1 41,f6g6 f3h4 g6h5 h4f5 h3h2 f5g3,1301,76,99,1779,crushing deflection endgame long,https://lichess.org/OXM1d2Yf/black#82,
jl8U7,5rk1/1p1n1ppp/1qP3b1/r3P3/2p2BP1/2N2N1P/2PQ1P2/2KR3R w - - 1 21,d2d7 a5a1 c1d2 b6f2,1316,78,85,6082,advantage middlegame short,https://lichess.org/wW0tGOtm#41,
